var_orig,var_new,label_new,modalities,type_new,keep,label_orig,type_orig
S7_Q2_a__2,S7_Q2_a__2,VII.2a. Demander ensuite au répondant de les classer par ordre de sévérité:Invas,NA,,no,VII.2a. Demander ensuite au répondant de les classer par ordre de sévérité:Invas,numeric
S7_Q2_a__3,S7_Q2_a__3,VII.2a. Demander ensuite au répondant de les classer par ordre de sévérité:Invas,NA,,no,VII.2a. Demander ensuite au répondant de les classer par ordre de sévérité:Invas,numeric
S7_Q2_a__4,S7_Q2_a__4,VII.2a. Demander ensuite au répondant de les classer par ordre de sévérité:Inond,NA,,no,VII.2a. Demander ensuite au répondant de les classer par ordre de sévérité:Inond,numeric
S7_Q2_a__5,S7_Q2_a__5,VII.2a. Demander ensuite au répondant de les classer par ordre de sévérité:Incen,NA,,no,VII.2a. Demander ensuite au répondant de les classer par ordre de sévérité:Incen,numeric
S7_Q2_a__6,S7_Q2_a__6,VII.2a. Demander ensuite au répondant de les classer par ordre de sévérité:Forte,NA,,no,VII.2a. Demander ensuite au répondant de les classer par ordre de sévérité:Forte,numeric
S7_Q2_a__7,S7_Q2_a__7,VII.2a. Demander ensuite au répondant de les classer par ordre de sévérité:Impor,NA,,no,VII.2a. Demander ensuite au répondant de les classer par ordre de sévérité:Impor,numeric
S7_Q2_a__8,S7_Q2_a__8,VII.2a. Demander ensuite au répondant de les classer par ordre de sévérité:Malad,NA,,no,VII.2a. Demander ensuite au répondant de les classer par ordre de sévérité:Malad,numeric
S7_Q2_a__9,S7_Q2_a__9,VII.2a. Demander ensuite au répondant de les classer par ordre de sévérité:Viole,NA,,no,VII.2a. Demander ensuite au répondant de les classer par ordre de sévérité:Viole,numeric
S7_Q2_a__10,S7_Q2_a__10,VII.2a. Demander ensuite au répondant de les classer par ordre de sévérité:Malad,NA,,no,VII.2a. Demander ensuite au répondant de les classer par ordre de sévérité:Malad,numeric
S7_Q2_a__11,S7_Q2_a__11,VII.2a. Demander ensuite au répondant de les classer par ordre de sévérité:Décès,NA,,no,VII.2a. Demander ensuite au répondant de les classer par ordre de sévérité:Décès,numeric
S7_Q2_a__12,S7_Q2_a__12,VII.2a. Demander ensuite au répondant de les classer par ordre de sévérité:Perte,NA,,no,VII.2a. Demander ensuite au répondant de les classer par ordre de sévérité:Perte,numeric
S7_Q2_a__13,S7_Q2_a__13,VII.2a. Demander ensuite au répondant de les classer par ordre de sévérité:Pandé,NA,,no,VII.2a. Demander ensuite au répondant de les classer par ordre de sévérité:Pandé,numeric
S7_Q3,S7_Q3,"VII.3 Au cours des douze derniers mois, le ménage a-t-il reçu une assistance gra",1=Oui | 2=Non,,no,"VII.3 Au cours des douze derniers mois, le ménage a-t-il reçu une assistance gra","haven_labelled, vctrs_vctr, double"
S9B_Q1,S9B_Q1,IX.B.1. Y - a -t-il eu décès dans le ménage au cours des douze derniers mois?,1=Oui | 2=Non,,no,IX.B.1. Y - a -t-il eu décès dans le ménage au cours des douze derniers mois?,"haven_labelled, vctrs_vctr, double"
S9B_Q2,S9B_Q2,IX.B.2. Quel est le nombre de femmes décédées ?,NA,,no,IX.B.2. Quel est le nombre de femmes décédées ?,numeric
date_fin,date_fin,Date et heure de fin de l'interview,NA,,no,Date et heure de fin de l'interview,character
sssys_irnd,sssys_irnd,Random number in the range 0..1 associated with interview,NA,,no,Random number in the range 0..1 associated with interview,numeric
has__errors,has__errors,Errors count in the interview,NA,,no,Errors count in the interview,numeric
interview__status,interview__status,Status of the interview,-1=Deleted | 0=Restored | 20=Created | 40=SupervisorAssigned | 60=InterviewerAssigned | 65=RejectedBySupervisor | 80=ReadyForInterview | 85=SentToCapi | 95=Restarted | 100=Completed | 120=ApprovedBySupervisor | 125=RejectedByHeadquarters | 130=ApprovedByHeadquarters,,no,Status of the interview,"haven_labelled, vctrs_vctr, double"
assignment__id,assignment__id,NA,NA,,no,NA,numeric
